"Label","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","448","2.0%","0.0%","2.9%","2.2%","3.8%","7.4%","16.1%","25.7%","10.5%","29.5%","143,167","160,623","","(X)","26.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","337","1.5%","0.0%","0.0%","3.0%","1.2%","4.2%","16.3%","25.8%","10.1%","38.0%","149,522","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","503","16.5%","4.4%","7.4%","8.0%","5.8%","11.1%","12.3%","16.3%","8.3%","9.9%","73,315","85,761","","(X)","(X)","26.2%"
"Census Tract 68.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,044","1.6%","1.0%","1.7%","2.8%","4.2%","7.6%","12.5%","16.8%","16.4%","35.5%","166,000","169,994","","28.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","580","0.0%","0.7%","0.0%","0.5%","2.4%","6.4%","4.5%","16.4%","25.3%","43.8%","187,143","205,323","","(X)","27.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","454","0.0%","0.9%","0.0%","0.0%","3.1%","3.7%","0.0%","18.3%","18.1%","55.9%","211,250","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","464","3.7%","1.3%","3.9%","5.6%","6.5%","9.1%","23.9%","20.0%","7.1%","19.0%","91,250","118,831","","(X)","(X)","28.0%"
"Census Tract 68.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","32","0.0%","0.0%","0.0%","0.0%","12.5%","12.5%","0.0%","0.0%","50.0%","25.0%","158,750","158,978","","62.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","24","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","66.7%","0.0%","0.0%","33.3%","-","134,704","","(X)","16.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","8","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","8","0.0%","0.0%","0.0%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","-","N","","(X)","(X)","0.0%"
"Census Tract 69, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,168","3.3%","6.1%","2.0%","2.9%","1.5%","6.9%","3.3%","18.0%","16.2%","40.0%","163,125","180,744","","21.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","582","0.0%","0.0%","0.0%","0.0%","0.0%","3.4%","3.1%","9.6%","15.5%","68.4%","236,944","239,508","","(X)","19.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","503","0.0%","0.0%","0.0%","0.0%","0.0%","1.6%","0.0%","11.1%","13.7%","73.6%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","586","6.5%","12.1%","3.9%","5.8%","2.9%","10.4%","3.4%","26.3%","16.9%","11.8%","105,069","119,321","","(X)","(X)","23.5%"
"Census Tract 70, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,065","2.0%","0.9%","0.9%","2.4%","0.8%","12.2%","7.8%","25.8%","17.7%","29.4%","143,875","176,937","","22.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","519","0.0%","0.0%","0.0%","0.0%","0.0%","4.2%","4.4%","24.1%","18.7%","48.6%","189,821","236,399","","(X)","17.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","483","0.0%","0.0%","0.0%","0.0%","0.0%","2.1%","4.8%","25.9%","15.1%","52.2%","217,563","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","546","3.8%","1.8%","1.8%","4.8%","1.5%","19.8%","11.0%","27.5%","16.8%","11.2%","112,344","120,266","","(X)","(X)","26.4%"
"Census Tract 71, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,276","12.8%","9.5%","9.4%","3.2%","9.3%","7.8%","5.3%","21.3%","7.1%","14.3%","70,000","107,834","","23.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","661","15.0%","15.7%","8.0%","6.8%","10.4%","1.2%","3.8%","9.4%","9.1%","20.6%","41,780","121,491","","(X)","26.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","274","0.0%","0.0%","9.5%","0.0%","2.2%","0.0%","6.2%","16.8%","18.2%","47.1%","187,778","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","615","11.9%","1.3%","10.9%","1.0%","8.1%","15.0%","5.2%","34.1%","4.9%","7.6%","81,797","92,046","","(X)","(X)","17.4%"
"Census Tract 72, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","3,178","4.8%","3.1%","1.8%","3.2%","5.1%","9.3%","15.7%","24.2%","16.1%","16.7%","115,667","131,108","","24.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","882","2.8%","0.0%","0.3%","0.6%","2.5%","7.0%","14.5%","17.7%","19.5%","35.0%","160,517","180,807","","(X)","26.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","720","0.0%","0.0%","0.0%","0.7%","1.5%","4.0%","7.4%","20.4%","23.1%","42.9%","184,531","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","2,296","5.6%","4.3%","2.4%","4.2%","6.1%","10.0%","16.2%","26.7%","14.9%","9.7%","101,500","111,957","","(X)","(X)","23.3%"
"Census Tract 73.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,280","0.7%","0.0%","3.1%","5.5%","14.3%","15.2%","17.7%","19.3%","14.9%","9.3%","88,015","107,174","","37.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,125","0.0%","0.0%","3.6%","6.3%","11.7%","17.2%","18.2%","17.9%","14.5%","10.6%","87,367","108,638","","(X)","37.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,019","0.0%","0.0%","2.7%","7.0%","11.9%","19.0%","16.9%","14.8%","16.0%","11.7%","85,929","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","155","5.8%","0.0%","0.0%","0.0%","32.9%","0.0%","13.5%","29.7%","18.1%","0.0%","96,827","95,905","","(X)","(X)","36.8%"
"Census Tract 73.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,231","17.9%","7.2%","13.6%","14.7%","8.4%","14.0%","14.5%","6.2%","1.7%","1.7%","31,514","49,373","","39.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","817","16.2%","5.5%","8.6%","18.1%","7.8%","14.3%","19.3%","6.7%","2.6%","0.9%","43,705","54,168","","(X)","38.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","215","0.0%","0.0%","3.7%","17.2%","9.3%","27.4%","20.9%","18.1%","0.0%","3.3%","65,438","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","414","27.1%","10.6%","17.9%","8.0%","9.7%","13.3%","5.1%","5.1%","0.0%","3.4%","20,583","38,339","","(X)","(X)","37.0%"
"Census Tract 74.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","751","37.3%","18.9%","17.6%","11.3%","3.1%","3.9%","1.7%","4.7%","1.6%","0.0%","13,750","23,704","","22.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","449","32.7%","20.7%","18.5%","17.4%","1.1%","0.0%","2.9%","6.7%","0.0%","0.0%","14,422","23,145","","(X)","25.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","61","0.0%","23.0%","6.6%","26.2%","0.0%","0.0%","21.3%","23.0%","0.0%","0.0%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","302","48.7%","11.6%","16.2%","2.3%","7.6%","9.6%","0.0%","0.0%","4.0%","0.0%","10,435","22,707","","(X)","(X)","17.2%"
"Census Tract 74.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,054","27.5%","5.3%","15.2%","14.1%","12.4%","11.2%","5.2%","8.2%","0.0%","0.9%","26,419","44,231","","39.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","640","11.9%","10.6%","9.5%","14.7%","15.9%","18.4%","6.9%","12.0%","0.0%","0.0%","37,100","45,388","","(X)","47.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","95","0.0%","0.0%","0.0%","40.0%","0.0%","24.2%","0.0%","35.8%","0.0%","0.0%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","414","51.7%","0.0%","23.7%","13.3%","9.2%","0.0%","0.0%","0.0%","0.0%","2.2%","-","37,585","","(X)","(X)","26.3%"
"Census Tract 74.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,140","12.0%","3.9%","12.4%","5.4%","14.6%","14.0%","16.1%","7.9%","5.1%","8.8%","52,100","80,592","","51.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","794","13.6%","0.0%","12.6%","8.2%","12.0%","14.7%","19.0%","9.6%","4.2%","6.2%","63,854","79,131","","(X)","60.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","199","0.0%","0.0%","3.5%","0.0%","18.6%","16.6%","31.7%","0.0%","8.5%","21.1%","86,563","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","346","8.4%","12.7%","13.9%","7.8%","20.5%","10.4%","9.2%","11.3%","0.0%","5.8%","41,250","59,460","","(X)","(X)","29.2%"
"Census Tract 74.06, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,002","32.9%","9.9%","8.6%","4.7%","15.3%","13.0%","6.1%","7.3%","2.3%","0.0%","23,542","37,157","","43.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","731","24.6%","13.5%","8.8%","6.4%","18.7%","16.8%","3.7%","4.2%","3.1%","0.0%","27,344","37,899","","(X)","46.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","84","9.5%","0.0%","0.0%","4.8%","7.1%","15.5%","32.1%","31.0%","0.0%","0.0%","91,019","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","271","55.4%","0.0%","8.1%","0.0%","5.9%","8.5%","12.5%","9.6%","0.0%","0.0%","-","31,330","","(X)","(X)","35.4%"
"Census Tract 74.07, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,398","13.3%","6.9%","14.0%","12.9%","11.1%","20.4%","11.9%","3.6%","2.4%","3.4%","40,079","78,136","","32.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","692","10.5%","3.3%","21.2%","14.5%","13.7%","15.6%","12.4%","2.9%","1.9%","3.9%","37,813","100,317","","(X)","31.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","67","10.4%","0.0%","0.0%","40.3%","0.0%","0.0%","19.4%","10.4%","19.4%","0.0%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","706","16.0%","11.6%","8.8%","12.6%","10.1%","21.7%","10.1%","3.3%","3.0%","3.0%","36,250","53,179","","(X)","(X)","32.4%"
"Census Tract 74.08, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,029","20.4%","10.5%","23.7%","5.8%","15.4%","8.6%","8.2%","4.1%","3.4%","0.0%","22,879","37,584","","36.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","603","22.1%","16.3%","24.9%","10.0%","9.3%","8.6%","5.0%","1.2%","2.8%","0.0%","17,289","29,792","","(X)","35.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","56","23.2%","0.0%","0.0%","16.1%","32.1%","0.0%","0.0%","12.5%","16.1%","0.0%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","426","20.4%","2.3%","22.1%","0.0%","25.6%","4.5%","12.7%","8.2%","4.2%","0.0%","37,391","47,090","","(X)","(X)","33.6%"
"Census Tract 74.09, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,532","12.2%","8.6%","13.4%","11.7%","19.7%","14.2%","11.9%","6.9%","0.6%","0.8%","37,153","46,442","","24.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,081","10.9%","8.0%","18.4%","14.5%","13.6%","20.5%","6.0%","7.2%","0.8%","0.0%","33,940","43,195","","(X)","19.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","174","0.0%","0.0%","0.0%","12.1%","6.3%","23.0%","21.3%","32.2%","5.2%","0.0%","93,514","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","451","22.0%","10.0%","16.9%","5.1%","20.6%","6.7%","12.9%","6.0%","0.0%","0.0%","28,482","38,609","","(X)","(X)","39.2%"
"Census Tract 75.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,776","19.7%","7.5%","17.5%","13.1%","12.6%","14.8%","5.3%","5.7%","2.6%","1.1%","27,004","43,948","","30.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","995","20.3%","4.5%","17.9%","16.7%","6.6%","14.8%","7.3%","5.2%","4.7%","1.9%","28,074","50,051","","(X)","30.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","221","7.7%","0.0%","10.0%","7.7%","0.0%","21.7%","10.0%","13.1%","21.3%","8.6%","76,354","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","781","19.0%","11.4%","17.0%","8.6%","20.1%","14.7%","2.8%","6.4%","0.0%","0.0%","25,986","36,169","","(X)","(X)","31.0%"
"Census Tract 75.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","912","22.8%","12.3%","13.3%","13.3%","8.4%","15.0%","5.6%","4.3%","3.8%","1.2%","27,206","42,205","","34.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","523","14.7%","13.0%","18.5%","11.5%","8.8%","13.8%","9.8%","5.9%","1.9%","2.1%","30,551","45,882","","(X)","36.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","88","5.7%","0.0%","20.5%","10.2%","0.0%","14.8%","0.0%","30.7%","11.4%","6.8%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","389","33.7%","11.3%","6.2%","15.7%","8.0%","16.7%","1.5%","2.6%","4.4%","0.0%","21,750","36,086","","(X)","(X)","29.3%"
"Census Tract 75.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,110","23.5%","19.9%","23.3%","7.6%","1.9%","3.2%","7.0%","2.9%","4.2%","6.5%","17,147","55,354","","39.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","535","18.5%","13.6%","23.4%","7.7%","3.9%","9.2%","11.0%","1.9%","3.0%","7.9%","21,103","56,337","","(X)","44.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","110","33.6%","6.4%","7.3%","0.0%","0.0%","0.0%","0.0%","0.0%","14.5%","38.2%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","575","29.7%","25.7%","21.7%","7.5%","0.0%","0.0%","5.2%","0.9%","4.0%","5.2%","12,258","51,682","","(X)","(X)","35.7%"
"Census Tract 76.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,139","14.7%","6.9%","8.1%","18.2%","13.2%","13.5%","6.5%","11.0%","6.7%","1.1%","36,195","58,412","","37.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,038","10.8%","5.8%","11.3%","8.4%","11.7%","17.7%","6.2%","13.7%","12.2%","2.3%","52,571","76,506","","(X)","48.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","350","2.0%","2.6%","3.7%","0.0%","13.7%","17.7%","10.0%","20.6%","22.9%","6.9%","100,313","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,101","18.4%","7.9%","5.2%","27.5%","14.6%","9.4%","6.8%","9.3%","0.8%","0.0%","29,965","40,609","","(X)","(X)","28.4%"
"Census Tract 76.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,244","14.4%","6.3%","10.0%","10.4%","11.7%","13.9%","6.1%","19.7%","5.6%","1.8%","47,645","64,036","","34.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","700","13.0%","7.9%","12.3%","20.3%","3.7%","8.1%","7.7%","17.4%","5.4%","4.1%","-","67,361","","(X)","41.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","213","9.9%","0.0%","22.5%","0.0%","0.0%","5.6%","20.7%","19.2%","11.3%","10.8%","93,555","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,544","15.1%","5.6%","9.0%","6.0%","15.5%","16.5%","5.2%","20.7%","5.7%","0.8%","49,348","62,452","","(X)","(X)","31.1%"
"Census Tract 76.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,818","12.9%","5.0%","10.1%","6.9%","8.3%","18.2%","13.0%","12.7%","4.9%","8.2%","64,193","87,082","","29.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","915","12.0%","0.0%","7.4%","3.2%","14.4%","18.1%","6.9%","15.2%","7.7%","15.1%","65,125","118,664","","(X)","40.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","278","2.5%","0.0%","9.4%","3.6%","1.8%","8.6%","2.2%","17.6%","12.2%","42.1%","156,500","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","903","18.5%","10.0%","12.7%","5.9%","4.7%","22.7%","13.3%","10.2%","2.1%","0.0%","43,036","49,534","","(X)","(X)","17.9%"
"Census Tract 76.05, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,597","16.7%","12.0%","10.5%","8.3%","11.0%","16.2%","7.2%","10.5%","4.3%","3.4%","40,239","56,630","","40.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","812","12.6%","21.3%","7.8%","4.8%","13.7%","10.5%","3.2%","16.4%","6.2%","3.7%","39,519","59,288","","(X)","46.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","227","0.0%","4.8%","0.0%","7.5%","5.3%","19.8%","11.5%","34.8%","3.1%","13.2%","108,125","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","785","20.9%","2.3%","13.4%","12.0%","8.2%","22.0%","11.3%","4.3%","2.4%","3.2%","40,701","53,681","","(X)","(X)","33.0%"
"Census Tract 77.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,190","20.2%","11.6%","16.2%","11.3%","12.3%","12.2%","5.2%","5.8%","2.3%","2.7%","27,879","46,895","","45.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,314","9.1%","15.3%","20.5%","16.4%","7.8%","12.6%","7.2%","2.5%","3.9%","4.6%","28,402","54,392","","(X)","47.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","398","0.0%","16.3%","18.6%","0.0%","9.3%","24.4%","3.5%","0.0%","12.8%","15.1%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","876","41.1%","6.2%","12.1%","3.7%","18.9%","7.4%","2.2%","8.4%","0.0%","0.0%","16,667","31,106","","(X)","(X)","37.6%"
"Census Tract 77.07, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,591","16.9%","7.7%","8.5%","14.8%","6.7%","14.2%","11.9%","11.9%","3.0%","4.2%","40,168","59,656","","33.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","939","14.8%","2.1%","9.2%","14.6%","5.1%","21.9%","13.1%","9.3%","7.7%","2.2%","53,766","64,894","","(X)","34.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","337","0.0%","2.1%","0.0%","18.7%","0.0%","31.2%","20.8%","17.8%","3.3%","6.2%","72,181","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","652","23.9%","15.8%","7.5%","14.1%","6.1%","10.7%","13.0%","5.4%","0.0%","3.4%","25,776","45,652","","(X)","(X)","30.8%"
"Census Tract 77.08, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,122","12.7%","9.6%","18.5%","10.1%","13.7%","12.4%","8.3%","14.6%","0.0%","0.0%","34,167","45,487","","54.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","671","16.5%","6.7%","17.9%","10.1%","12.4%","7.9%","4.0%","24.4%","0.0%","0.0%","33,672","50,173","","(X)","68.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","147","0.0%","0.0%","28.6%","32.7%","12.2%","0.0%","12.2%","14.3%","0.0%","0.0%","27,461","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","451","13.5%","16.6%","13.1%","10.0%","15.7%","16.4%","14.6%","0.0%","0.0%","0.0%","32,868","35,921","","(X)","(X)","32.8%"
"Census Tract 77.09, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,045","21.3%","4.4%","14.0%","15.9%","12.2%","13.2%","6.6%","6.6%","5.5%","0.4%","29,717","46,436","","48.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","508","9.3%","8.1%","14.0%","18.3%","8.7%","15.7%","10.6%","10.0%","5.3%","0.0%","35,500","52,509","","(X)","53.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","161","0.0%","0.0%","26.1%","1.9%","16.8%","19.3%","6.2%","13.0%","16.8%","0.0%","58,021","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","537","32.8%","0.9%","14.0%","15.3%","13.8%","10.8%","2.8%","3.4%","5.6%","0.7%","26,008","40,434","","(X)","(X)","43.9%"
"Census Tract 78.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,771","14.5%","9.7%","10.3%","11.0%","13.7%","15.9%","11.3%","5.9%","3.2%","4.6%","40,933","63,216","","35.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","834","13.8%","9.7%","10.0%","5.8%","13.9%","13.2%","9.5%","10.1%","5.5%","8.6%","48,523","74,477","","(X)","44.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","312","3.5%","6.4%","2.6%","2.2%","17.9%","18.9%","8.0%","6.4%","13.5%","20.5%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","937","16.0%","9.6%","12.3%","14.0%","14.1%","16.6%","12.9%","2.2%","1.2%","1.1%","31,958","52,325","","(X)","(X)","27.0%"
"Census Tract 78.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,224","20.2%","3.8%","10.3%","7.4%","6.5%","25.3%","13.6%","4.7%","2.4%","6.0%","53,426","59,656","","28.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","758","16.4%","2.0%","3.7%","11.1%","9.1%","23.9%","18.2%","11.9%","2.2%","1.6%","61,429","60,903","","(X)","28.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
